donor_id	donor_name	source_url	project_name	is_loan	amount_m	currency	amount_m_usd	objectives	main_components	start_date	start_ut	end_date	end_ut	duration	duration_unit	duration_unit_ticks	implementing_agency	executing_agency	Project Name	Loan / Grant	Amount (USD)	Objective/s	Main Component/s	Commencement Date	Duration	Implementing Agency	Executing Agency
28	French Agency for Development	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=28&today=2022-03-14&Itemid=321&lang=en	Anuradhapura Township Development Project	True	52.0	EUR	56.68000000000001			2016-12-01	1480550400						Ministry of Megapolis and Western Development	Ministry of Megapolis and Western Development	Anuradhapura Township Development Project	Loan	Euro 52,000,000			2016-12-01		Ministry of Megapolis and Western Development	Ministry of Megapolis and Western Development
28	French Agency for Development	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=28&today=2022-03-14&Itemid=321&lang=en	Construction of Four Grid Substations and Related Transmission Line	True	30.0	EUR	32.7			2015-10-02	1443744000						Ceylon Electricity Board	Ministry of Power and Renewable Energy	Construction of Four Grid Substations and Related Transmission Line	Loan	Euro 30,000,000			2015-10-02		Ceylon Electricity Board	Ministry of Power and Renewable Energy
28	French Agency for Development	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=28&today=2022-03-14&Itemid=321&lang=en	Green Power Development and Energy Efficiency improvement Investment	True	22.0	EUR	23.98			2015-10-02	1443744000						Ceylon Electricity Board	Ministry of Power and Renewable Energy	Green Power Development and Energy Efficiency improvement Investment	Loan	Euro 22,000,000			2015-10-02		Ceylon Electricity Board	Ministry of Power and Renewable Energy
28	French Agency for Development	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=28&today=2022-03-14&Itemid=321&lang=en	Sanitation Hygiene Initiative for Towns Project - Phase I	True	76.0	EUR	82.84			2016-06-01	1464739200						National Water Supply and Drainage Board	Ministry of City Planning and Water Supply	Sanitation Hygiene Initiative for Towns Project - Phase I	Loan	Euro 76,000,000			2016-06-01		National Water Supply and Drainage Board	Ministry of City Planning and Water Supply
28	French Agency for Development	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=28&today=2022-03-14&Itemid=321&lang=en	Ambatale Water Supply System Improvements & Energy Saving Project	True	70.0	USD	70.0			2014-09-29	1411948800						National Water Supply and Drainage Board	Ministry of City Planning and Water Supply	Ambatale Water Supply System Improvements & Energy Saving Project	Loan	USD 70,000,000			2014-09-29		National Water Supply and Drainage Board	Ministry of City Planning and Water Supply
