donor_id	donor_name	source_url	project_name	is_loan	amount_m	currency	amount_m_usd	objectives	main_components	start_date	start_ut	end_date	end_ut	duration	duration_unit	duration_unit_ticks	implementing_agency	executing_agency	Project Name	Loan / Grant	Amount (USD)	Objective/s	Main Component/s	Commencement Date	Duration	Implementing Agency	Executing Agency
4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	Thalpitigala Reservoir Project	True	147.9	USD	147.9		Provide irrigation water to new and existing lands around 1400 hectares in the area by constructing upstream of the Battmedilla anicut in the Baudlla district.; Provide safe drinking water facilities to Wasanagama, Madulla, Thetilla and Beramada villages in the Kandaketiya Divisional Secretary's Division.; Construct a hydro power station with a capacity of 15 MW that will generate 51 GWh of hydro power annually to feed the National Grid.	2017-12-22	1513900800			5.0	year	157788000.0	Ministry of Irrigation and Water Resources Management	Ministry of Irrigation and Water Resources Management	Thalpitigala Reservoir Project	Loan	USD 147.9 mn		Provide irrigation water to new and existing lands around 1400 hectares in the area by constructing upstream of the Battmedilla anicut in the Baudlla district.; Provide safe drinking water facilities to Wasanagama, Madulla, Thetilla and Beramada villages in the Kandaketiya Divisional Secretary's Division.; Construct a hydro power station with a capacity of 15 MW that will generate 51 GWh of hydro power annually to feed the National Grid.	2017-12-22	5 Years	Ministry of Irrigation and Water Resources Management	Ministry of Irrigation and Water Resources Management
4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	Kandy North-Pathadumbara Integrated Water Supply Project	True	254.5	USD	254.5		Construction of clear Water Reservoir - 2100 m3 within existing water treatment plant; Construction of filtration Unit -; Construction of flocculation unit; Construction of new pump station; Improvement to existing pumps station; Construction of Slude lagoon; Construction of Service Reservoirs; Construction of pump houses; Supply and laying of distribution lines; Supply and laying transmission lines	2017-12-22	1513900800			5.0	year	157788000.0	National Water Supply & Drainage Board	Ministry of City Planning & Water Supply	Kandy North-Pathadumbara Integrated Water Supply Project	Loan	254.5 million		Construction of clear Water Reservoir - 2100 m3 within existing water treatment plant; Construction of filtration Unit -; Construction of flocculation unit; Construction of new pump station; Improvement to existing pumps station; Construction of Slude lagoon; Construction of Service Reservoirs; Construction of pump houses; Supply and laying of distribution lines; Supply and laying transmission lines	2017-12-22	5 Years	National Water Supply & Drainage Board	Ministry of City Planning & Water Supply
4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	Consultancy Services for Design Review & Construction Supervision of Civil Works on Extension of Southern Expressway Project.	True	90.0	USD	90.0		Provide consultancy service for design review and construction supervsion of civil work of the Southern Expressway from Matara to Hambantota.	2017-01-22	1485043200			5.0	year	157788000.0	Road Development Authority	Ministry of Higher Education & Highways	Consultancy Services for Design Review & Construction Supervision of Civil Works on Extension of Southern Expressway Project.	Loan	90 mn		Provide consultancy service for design review and construction supervsion of civil work of the Southern Expressway from Matara to Hambantota.	2017-01-22	5 Years	Road Development Authority	Ministry of Higher Education & Highways
4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	Central Expressway Project  - Section 01 from Kadawtha to Meerigama	True	989.0	USD	989.0			2019-03-22	1553212800			4.0	year	126230400.0	Road Development Authority	Road Development Authority	Central Expressway Project  - Section 01 from Kadawtha to Meerigama	Loan	989			2019-03-22	4 years	Road Development Authority	Road Development Authority
4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	Colombo Katunayake Expressway (A1 , A2 , A3 & A4)	False	248.2	USD	248.2	The objective of the project is the construction of the Colombo - Katunayaka Expressway which links the Bandarana International Airport & Capital City of Colombo.	Construction of 25.8Km length of Expressway from Colombo to Katunayake.	2009-08-06	1249516800						Road Development Authority	Ministry of Higher Education & Highways	Colombo Katunayake Expressway (A1 , A2 , A3 & A4)	Loan - (04 Loans)	USD 248.2 Mn	The objective of the project is the construction of the Colombo - Katunayaka Expressway which links the Bandarana International Airport & Capital City of Colombo.	Construction of 25.8Km length of Expressway from Colombo to Katunayake.	2009-08-06		Road Development Authority	Ministry of Higher Education & Highways
4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	Hambantota Port Development Phase I for Ancillary Works & Supply of Equipment Project	True	155.0	USD	155.0	Project will envisages economic & social benefits as it will generate direct income & direct & indirect employment opportunities in the area which will contribute to reduce regional income disparities & poverty.	Deepening the harbor basin for additional 1m depth; Dredging for approaching channel; Additional work of oil terminal; breakwater & revetment modification & handling facilities; New administration & services building; change specification of navigational aid & price escalation	2013-04-24	1366761600						Sri Lanka Ports Authority	Ministry of Ports & Shipping	Hambantota Port Development Phase I for Ancillary Works & Supply of Equipment Project	Loan	USD 155 Mn	Project will envisages economic & social benefits as it will generate direct income & direct & indirect employment opportunities in the area which will contribute to reduce regional income disparities & poverty.	Deepening the harbor basin for additional 1m depth; Dredging for approaching channel; Additional work of oil terminal; breakwater & revetment modification & handling facilities; New administration & services building; change specification of navigational aid & price escalation	2013-04-24		Sri Lanka Ports Authority	Ministry of Ports & Shipping
4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	Hambantota Port Development Phase II	False	600.0	USD	600.0	To build a strong supplementary Port to Colombo Port as an international hub and support Sri Lanka to consolidate the status as a container transshipment hub in the Southern Asian Region.	Construction of 6 numbers of container berths, oil terminal, yard & roads; Deepeninng of entrance channel; Construction of artificial island & handling facilities; Escavating new basin area	2012-09-17	1347840000						Sri Lanka Ports Authority	Ministry of Ports & Shipping	Hambantota Port Development Phase II	Loan 1	USD 600 Million (fully utilized), RMB 1000 million (RMB 300 mn, cancelled) USD 51 mn Cancalled	To build a strong supplementary Port to Colombo Port as an international hub and support Sri Lanka to consolidate the status as a container transshipment hub in the Southern Asian Region.	Construction of 6 numbers of container berths, oil terminal, yard & roads; Deepeninng of entrance channel; Construction of artificial island & handling facilities; Escavating new basin area	2012-09-17		Sri Lanka Ports Authority	Ministry of Ports & Shipping
4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	Hambantota International Airport Project	True	190.0	USD	190.0	To develop an alternative international airport at Mattala, in the Hambantota District for the Bandaranaike international Airport.	Construction of 4Km loan runway; Parking apron; A taxiway connecting the runaway and the apron; Terminal building; Cargo storage; Fuel arm; Fire service building	2010-03-05	1267747200						Airport & Aviation Lanka Limited	Ministry of Transport	Hambantota International Airport Project	Loan	USD 190 Mn	To develop an alternative international airport at Mattala, in the Hambantota District for the Bandaranaike international Airport.	Construction of 4Km loan runway; Parking apron; A taxiway connecting the runaway and the apron; Terminal building; Cargo storage; Fuel arm; Fire service building	2010-03-05		Airport & Aviation Lanka Limited	Ministry of Transport
4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	Northern Road Rehabilitation Project (C1A , C1B , C11A, C11B, C7, C2, C3)	False	424.0	USD	424.0	This is to rehabilitate roads in the Northern Province and it will help to revive the economic activities of the communities who have economically suffered for a long time.	63Km length of Kandy - Jaffna Road (A009) (From Galkulama to 230Km Post) Project - C1A; 90Km length of Kandy - Jaffna Road (A009) (From 230Km Post to Jaffna) C1B; 42.4 km length of Mulativu - Kokkilai - Pulmudai Road (B297) - C11A; 52.6 km Oddusudan - Nedunkerny (B334) & Mulativu - Puliyankulama Road (B296) - C11B; 67Km length of Navatkuli - Karaitivu - Mannar road (A032) -  C2; 84km length of Jaffna - Point Pedro Road (AB020) -  C3; Putter Meesalai Road (AB032), Jaffna - Kankasanturai Road (AB016) & Jaffna - Palali Road (AB018) -  C7	2010-09-09	1283990400						Road Development Authority	Ministry of Higher Education & Highways	Northern Road Rehabilitation Project (C1A , C1B , C11A, C11B, C7, C2, C3)	Loan (07 loans)	USD 424 Mn	This is to rehabilitate roads in the Northern Province and it will help to revive the economic activities of the communities who have economically suffered for a long time.	63Km length of Kandy - Jaffna Road (A009) (From Galkulama to 230Km Post) Project - C1A; 90Km length of Kandy - Jaffna Road (A009) (From 230Km Post to Jaffna) C1B; 42.4 km length of Mulativu - Kokkilai - Pulmudai Road (B297) - C11A; 52.6 km Oddusudan - Nedunkerny (B334) & Mulativu - Puliyankulama Road (B296) - C11B; 67Km length of Navatkuli - Karaitivu - Mannar road (A032) -  C2; 84km length of Jaffna - Point Pedro Road (AB020) -  C3; Putter Meesalai Road (AB032), Jaffna - Kankasanturai Road (AB016) & Jaffna - Palali Road (AB018) -  C7	2010-09-09		Road Development Authority	Ministry of Higher Education & Highways
4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	Southern Transport Development Project	False	138.0	USD	138.0	The objective of the project is to assist development of the economic activities of the Southern Province by encouraging growth in industries, tourism, fisheries & agriculture sectors.	Highway section from Pinnaduwa to Kodagoda (30 + 800Km to 45 + 000 Km); Highway Section from Kodagoda to Godagama (45 + 000Km to 61 + 050Km) and balance work in Galle Port Access Road	2011-02-17	1297900800						Road Development Authority	Ministry of Higher Education & Highways	Southern Transport Development Project	Loan - (02 Loans)	USD 138 Mn	The objective of the project is to assist development of the economic activities of the Southern Province by encouraging growth in industries, tourism, fisheries & agriculture sectors.	Highway section from Pinnaduwa to Kodagoda (30 + 800Km to 45 + 000 Km); Highway Section from Kodagoda to Godagama (45 + 000Km to 61 + 050Km) and balance work in Galle Port Access Road	2011-02-17		Road Development Authority	Ministry of Higher Education & Highways
