donor_id	donor_name	source_url	project_name	is_loan	amount_m	currency	amount_m_usd	objectives	main_components	start_date	start_ut	end_date	end_ut	duration	duration_unit	duration_unit_ticks	implementing_agency	executing_agency	Project Name	Loan / Grant	Amount (USD)	Objective/s	Main Component/s	Commencement Date	Duration	Implementing Agency	Executing Agency
5	Kuwait Fund for Arab Economic Development	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=5&today=2022-03-14&Itemid=321&lang=en	South Eastern University of Sri Lanka Development Project - Phase 1B	True	3.0	KWD	9.870000000000001	Develop the essential academic infrastructure and introduce new demand driven degree Programs at the South Eastern University of Sri Lanka to reflect regional and national needs of the country and thereby support and social and economic development in Sri Lanka.	Students Hostel; Accommodation for staff; Auditorium; Extension to the faculty of Technology  Building; Supply and installation of furniture, Education & IT Equipment	2011-12-20	1324339200			7.0	year	220903200.0	Ministry of Higher Education & Highways	South Eastern University, Sri Lanka	South Eastern University of Sri Lanka Development Project - Phase 1B	Loan	KD 3,000,000.00	Develop the essential academic infrastructure and introduce new demand driven degree Programs at the South Eastern University of Sri Lanka to reflect regional and national needs of the country and thereby support and social and economic development in Sri Lanka.	Students Hostel; Accommodation for staff; Auditorium; Extension to the faculty of Technology  Building; Supply and installation of furniture, Education & IT Equipment	2011-12-20	7 years	Ministry of Higher Education & Highways	South Eastern University, Sri Lanka
5	Kuwait Fund for Arab Economic Development	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=5&today=2022-03-14&Itemid=321&lang=en	Project for Constructionand Rehabilitation of 25 Bridgesof the National Road Network	True	10.0	KWD	32.9	To Improve the efficiency of road transport services.	9 bridges in Western province; 3bridges in Southernprovince; 5bridges in NorthWestern province; 4bridges in Sabaragamuwaprovince; 3bridges in Northern province; A bridge in Eastern province	2014-01-30	1391040000			6.0	year	189345600.0	Road Development Authority	Ministry of Higher Education & Highways.	Project for Constructionand Rehabilitation of 25 Bridgesof the National Road Network	Loan	KD 10,000,000.00	To Improve the efficiency of road transport services.	9 bridges in Western province; 3bridges in Southernprovince; 5bridges in NorthWestern province; 4bridges in Sabaragamuwaprovince; 3bridges in Northern province; A bridge in Eastern province	2014-01-30	6 years	Road Development Authority	Ministry of Higher Education & Highways.
5	Kuwait Fund for Arab Economic Development	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=5&today=2022-03-14&Itemid=321&lang=en	Building Complex for the Faculty of Health Care Sciences Eastern University	True	10.0	KWD	32.9	To produce quality medical graduates with high competence; Provide appropriate environment for promoting the students in their studies with least constraints; Upgrade the quality of living standard of the students by providing reasonable facilities	To construct a building complex To construct a PlayGround and a pavilion; To provideinternet facilities; To construct aLaboratory; To supply Furniture, fittings, and Medical Equipment	2016-03-24	1458777600			4.0	year	126230400.0	Eastern University, Sri Lanka	Ministry of Higher Education &Highways	Building Complex for the Faculty of Health Care Sciences Eastern University	Loan	KD 10,000,000.00	To produce quality medical graduates with high competence; Provide appropriate environment for promoting the students in their studies with least constraints; Upgrade the quality of living standard of the students by providing reasonable facilities	To construct a building complex To construct a PlayGround and a pavilion; To provideinternet facilities; To construct aLaboratory; To supply Furniture, fittings, and Medical Equipment	2016-03-24	4 Years	Eastern University, Sri Lanka	Ministry of Higher Education &Highways
5	Kuwait Fund for Arab Economic Development	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=5&today=2022-03-14&Itemid=321&lang=en	Kaluganga Development Project (A  Co-Financing Project)	True	15.0	KWD	49.35		construction of the main dam at Pallegama; construction of one saddle dam; construction of a spillway and stilling basin; installation of irrigation intakes and outlets; Installation of new irrigation sluices	2009-03-09	1236556800			11.0	year	347133600.0	Sri Lanka Mahaweli Authority	Ministry of Mahaweli Development and Environment	Kaluganga Development Project (A  Co-Financing Project)	Loan	KD 15 Million		construction of the main dam at Pallegama; construction of one saddle dam; construction of a spillway and stilling basin; installation of irrigation intakes and outlets; Installation of new irrigation sluices	2009-03-09	11 Years	Sri Lanka Mahaweli Authority	Ministry of Mahaweli Development and Environment
5	Kuwait Fund for Arab Economic Development	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=5&today=2022-03-14&Itemid=321&lang=en	South Eastern University of Sri Lanka Development Project-Phase1B	True	3.0	KWD	9.870000000000001		Students Hostel; Accommodation for staff; Auditorium; Extension to the faculty of TechnologyBuilding; Supply and installation of furniture, Education & IT Equipment	2011-12-20	1324339200			8.0	year	252460800.0	South Eastern University, Sri Lanka	Ministry of Higher Education & Highways.	South Eastern University of Sri Lanka Development Project-Phase1B	Loan	KD 3,000,000.00		Students Hostel; Accommodation for staff; Auditorium; Extension to the faculty of TechnologyBuilding; Supply and installation of furniture, Education & IT Equipment	2011-12-20	8 Years	South Eastern University, Sri Lanka	Ministry of Higher Education & Highways.
