donor_id	donor_name	source_url	project_name	is_loan	amount_m	currency	amount_m_usd	objectives	main_components	start_date	start_ut	end_date	end_ut	duration	duration_unit	duration_unit_ticks	implementing_agency	executing_agency	Project Name	Loan / Grant	Amount (USD)	Objective/s	Main Component/s	Commencement Date	Completed on	Implementing Agency	Executing Agency
37	EDCF EXIM Bank of Korea	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=37&today=2022-03-14&Itemid=321&lang=en	Construction of Solid Waste Disposal Facilities Project	True	33.5	USD	33.5	Implement effective solid waste management system in selected areas of the country and contributes to minimize environment pollution and preserve comfortable urban atmosphere for the living residence.; Increase percentage of the recyclable materials.; Decreasing of waste volume being sent to land fill by composting organic waste and saving budget.	"Establishing four sanitary land filling sites in Medirigiriya in Polonnruwa district and Keerimalai in Jaffna district, Anuradhapura, Hikkaduwa with following facilities;; Storm water retention reservoir
Access roads
Rainwater and underground water drainage facility
Leachate liner system
Leachate collection facility
Leachate treatment facility
Landfill gas collection facility
Administration building and auxiliary facilities.; Storm water retention reservoir; Access roads; Rainwater and underground water drainage facility; Leachate liner system; Leachate collection facility; Leachate treatment facility; Landfill gas collection facility; Administration building and auxiliary facilities."	2013-07-23	1374537600						GOSL	Ministry of Mahaweli and Environment	Construction of Solid Waste Disposal Facilities Project	Loan	EDCF Portion - USD 33.5 Mn, GOSL Portion - USD 7.5 Mn	Implement effective solid waste management system in selected areas of the country and contributes to minimize environment pollution and preserve comfortable urban atmosphere for the living residence.; Increase percentage of the recyclable materials.; Decreasing of waste volume being sent to land fill by composting organic waste and saving budget.	"Establishing four sanitary land filling sites in Medirigiriya in Polonnruwa district and Keerimalai in Jaffna district, Anuradhapura, Hikkaduwa with following facilities;; Storm water retention reservoir
Access roads
Rainwater and underground water drainage facility
Leachate liner system
Leachate collection facility
Leachate treatment facility
Landfill gas collection facility
Administration building and auxiliary facilities.; Storm water retention reservoir; Access roads; Rainwater and underground water drainage facility; Leachate liner system; Leachate collection facility; Leachate treatment facility; Landfill gas collection facility; Administration building and auxiliary facilities."	2013-07-23	2019-07-11	GOSL	Ministry of Mahaweli and Environment
37	EDCF EXIM Bank of Korea	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=37&today=2022-03-14&Itemid=321&lang=en	Establishment Gampaha College of Technology and Colombo Central Vocational Training Centre Project	True	26.05	USD	26.05	Establish two vocational training centers with modern technological facilities in Gampaha and Colombo for leading of the Sri Lanka vocational training system.	Providing formal professional education to students with regard to the latest technology and know-how in the selected areas.; Match the labor market requirements in both local and international.; Empower labour force with necessary knowledge and skills; Increase job opportunities for the youth of the country.	2013-07-23	1374537600						GOSL	Ministry of Skills Development and Vocational Training	Establishment Gampaha College of Technology and Colombo Central Vocational Training Centre Project	Loan	EDCF Portion - USD 26.05 Mn, GOSL Portion - USD 5.4 Mn	Establish two vocational training centers with modern technological facilities in Gampaha and Colombo for leading of the Sri Lanka vocational training system.	Providing formal professional education to students with regard to the latest technology and know-how in the selected areas.; Match the labor market requirements in both local and international.; Empower labour force with necessary knowledge and skills; Increase job opportunities for the youth of the country.	2013-07-23	2019-07-23	GOSL	Ministry of Skills Development and Vocational Training
37	EDCF EXIM Bank of Korea	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=37&today=2022-03-14&Itemid=321&lang=en	Deduru Oya Water Supply Project	True	58.155	USD	58.155	Provide safe drinking water to the residents in Mahawa and Polpithigama areas in Kurunegala District; Decreasing the incidence of water born deceases in the project area; Increasing the living conditions of the community; Promoting economic prosperity as preserving the environment through provision of safe drinking water	Providing adequate pipe born water supply to people in 97 Grama Niladari Divisions; Establishment of water treatment plant at Pothuwewa, construction of three eleveated water towers etc.	2014-10-30	1414627200						Water Supply and Drainage Board	Ministry of City Planning and Water Supply	Deduru Oya Water Supply Project	Loan	EDCF Portion - USD 58.155 Mn, GOSL Portion - USD Mn	Provide safe drinking water to the residents in Mahawa and Polpithigama areas in Kurunegala District; Decreasing the incidence of water born deceases in the project area; Increasing the living conditions of the community; Promoting economic prosperity as preserving the environment through provision of safe drinking water	Providing adequate pipe born water supply to people in 97 Grama Niladari Divisions; Establishment of water treatment plant at Pothuwewa, construction of three eleveated water towers etc.	2014-10-30	2019-10-30	Water Supply and Drainage Board	Ministry of City Planning and Water Supply
37	EDCF EXIM Bank of Korea	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=37&today=2022-03-14&Itemid=321&lang=en	Ruwanwella Water Supply Project	True	20.5	USD	20.5	Provide safe drinking water to residents in the Ruwanwella area by developing a piped water supply system,; Decrease the drinking water issues and thereby improve the living conditions of the people.	Establishment of Intake Facility of 4,400 m3/d; Establishment of Water Treatment Plant : 4,000 m3/d; Establishment of Water Storage Reservoir; Establishment of Transmission Line of 110Km approximately; Providing Electronic &mechanical equipment	2014-12-30	1419897600						Water Supply and Drainage Board	Ministry of City Planning and Water Supply	Ruwanwella Water Supply Project	Loan	20.5 Million	Provide safe drinking water to residents in the Ruwanwella area by developing a piped water supply system,; Decrease the drinking water issues and thereby improve the living conditions of the people.	Establishment of Intake Facility of 4,400 m3/d; Establishment of Water Treatment Plant : 4,000 m3/d; Establishment of Water Storage Reservoir; Establishment of Transmission Line of 110Km approximately; Providing Electronic &mechanical equipment	2014-12-30	2019-12-30	Water Supply and Drainage Board	Ministry of City Planning and Water Supply
37	EDCF EXIM Bank of Korea	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=37&today=2022-03-14&Itemid=321&lang=en	Ruhunupura Water Supply Project	True	76.0	USD	76.0	Provide safe drinking water to a population of about 112,000 people; Cater the Commercial and Industrial water demand of the area; Cater the future water demand of the area which has been assessed as 35000 m3 day in the year 2025; Source improvement and construction of an intake at Ridiyagama tank; Construction of a 17,500m3/day  treatment plant at Koggalla; Ssupply and laying of 45 km of water transmission system; Construction of 4 ground reservoirs and 4 elevated towers; Supply and laying of 400 km long distribution pipe network		2009-04-16	1239840000						National Water Supply and Drainage Board	Ministry of Water Supply and Drainage	Ruhunupura Water Supply Project	Loan	76 Milion	Provide safe drinking water to a population of about 112,000 people; Cater the Commercial and Industrial water demand of the area; Cater the future water demand of the area which has been assessed as 35000 m3 day in the year 2025; Source improvement and construction of an intake at Ridiyagama tank; Construction of a 17,500m3/day  treatment plant at Koggalla; Ssupply and laying of 45 km of water transmission system; Construction of 4 ground reservoirs and 4 elevated towers; Supply and laying of 400 km long distribution pipe network		2009-04-16	2013-08-31	National Water Supply and Drainage Board	Ministry of Water Supply and Drainage
37	EDCF EXIM Bank of Korea	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=37&today=2022-03-14&Itemid=321&lang=en	Improvement of Anuradhapura – Padeniya Road	True	66.0	USD	66.0	Improve the road section between Padeniya-Anuradhapura to provide high mobility transport	Shorten the travel time and travel cost.; Improve quality of public transportation service and decrease the traffic accident.; Promote National economic development and balanced regional development.; Improve tourist industry.	2008-12-19	1229644800						Road Development Authority	Ministry of Highways and Road Development	Improvement of Anuradhapura – Padeniya Road	Loan	66 Milion	Improve the road section between Padeniya-Anuradhapura to provide high mobility transport	Shorten the travel time and travel cost.; Improve quality of public transportation service and decrease the traffic accident.; Promote National economic development and balanced regional development.; Improve tourist industry.	2008-12-19	2014-02-28	Road Development Authority	Ministry of Highways and Road Development
37	EDCF EXIM Bank of Korea	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=37&today=2022-03-14&Itemid=321&lang=en	Grater Galle Water Supply Project stage I	True	26.77	USD	26.77		Salinity Barrier; Raw water intake (100,000 m3/day) & Pump station; water treatment plant (32,000 m3/day); 4 Service reservoirs; Transmission- 27 Km; Distribution – 53 Km	2001-09-12	1000252800						National Water Supply and Drainage Board	Ministry of Urban Development and Water Supply	Grater Galle Water Supply Project stage I	Loan	26.77 Million		Salinity Barrier; Raw water intake (100,000 m3/day) & Pump station; water treatment plant (32,000 m3/day); 4 Service reservoirs; Transmission- 27 Km; Distribution – 53 Km	2001-09-12	2005-08-15	National Water Supply and Drainage Board	Ministry of Urban Development and Water Supply
37	EDCF EXIM Bank of Korea	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=37&today=2022-03-14&Itemid=321&lang=en	Grater Galle Water Supply Project stage II	True	14.8	USD	14.8		Provided water supply facilities to 160,000 people with connections; Laying of 30,327392 Km length of distribution pipe lines in greater Galle area.	2005-06-07	1118102400						Water Supply and Drainage Board	Ministry of Urban Development and Water Supply	Grater Galle Water Supply Project stage II	Loan	14.8 Million		Provided water supply facilities to 160,000 people with connections; Laying of 30,327392 Km length of distribution pipe lines in greater Galle area.	2005-06-07	2008-02-06	Water Supply and Drainage Board	Ministry of Urban Development and Water Supply
37	EDCF EXIM Bank of Korea	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=37&today=2022-03-14&Itemid=321&lang=en	Improvement of Hatton Nuwara Eliya Road Project	True	57.0	USD	57.0	Rehabilitation the road section between Hatton and Nuwara Eliya to improve  the accessibility to the people living in the area, eliminate traffic congestion and enhance road safety.; Widening and improvement of 35.6 Km long Hatton-Nuwara Eliya road with 2 lane facility; construction of the underpass crossing at Nanuoya railway and Kotagala tunnel		2010-11-02	1288656000						Road Development Authority	Ministry of Highways and Road Development	Improvement of Hatton Nuwara Eliya Road Project	Loan	57 Million	Rehabilitation the road section between Hatton and Nuwara Eliya to improve  the accessibility to the people living in the area, eliminate traffic congestion and enhance road safety.; Widening and improvement of 35.6 Km long Hatton-Nuwara Eliya road with 2 lane facility; construction of the underpass crossing at Nanuoya railway and Kotagala tunnel		2010-11-02	2015-01-14	Road Development Authority	Ministry of Highways and Road Development
37	EDCF EXIM Bank of Korea	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=37&today=2022-03-14&Itemid=321&lang=en	Power Sector Development Project	True	8.25	USD	8.25	Habarana; Balangoda; Trincomalee; Kiribathkumbura	Habarana Grid Substation (2x10MVA transformers replaced with 2x31.5MVA transformers and added 4x33kV feeder bays); Balangoda Grid Substation (2x10MVA transformers replaced with 2x31.5MVA transformers and added 4x33kV feeder bays); Trincomalee Grid Substation (2x10MVA transformers replaced with 2x31.5MVA transformers and added 4x33kV feeder bays); Kiribathkumbura Grid Substation (added 2x132kV transmission line bays)	1996-11-13	847843200						Ceylon Electricity Board	Ministry of Power	Power Sector Development Project	Loan	8.25 Million	Habarana; Balangoda; Trincomalee; Kiribathkumbura	Habarana Grid Substation (2x10MVA transformers replaced with 2x31.5MVA transformers and added 4x33kV feeder bays); Balangoda Grid Substation (2x10MVA transformers replaced with 2x31.5MVA transformers and added 4x33kV feeder bays); Trincomalee Grid Substation (2x10MVA transformers replaced with 2x31.5MVA transformers and added 4x33kV feeder bays); Kiribathkumbura Grid Substation (added 2x132kV transmission line bays)	1996-11-13	1999-02-02	Ceylon Electricity Board	Ministry of Power
